Id,SalePrice
1461,123910.49
1462,153161.86
1463,185609.55
1464,187018.69
1465,199721.66
1466,173397.62
1467,168967.88
1468,169491.73
1469,181087.98
1470,124050.45
1471,201844.88
1472,94742.766
1473,102458.61
1474,154087.94
1475,139518.19
1476,416992.1
1477,262309.7
1478,318276.78
1479,229096.64
1480,465014.28
1481,328567.9
1482,203029.34
1483,169656.27
1484,168962.6
1485,174661.19
1486,196985.4
1487,348609.62
1488,229097.0
1489,213971.1
1490,200316.17
1491,186350.5
1492,90596.75
1493,187999.73
1494,295723.56
1495,280999.0
1496,246783.39
1497,192358.69
1498,159716.72
1499,158106.66
1500,152084.44
1501,180209.42
1502,162985.6
1503,317468.06
1504,230605.2
1505,215736.23
1506,191986.55
1507,232486.8
1508,210060.27
1509,163363.86
1510,146296.81
1511,147337.05
1512,165318.23
1513,157447.2
1514,159756.52
1515,177967.06
1516,157186.05
1517,158354.84
1518,125463.15
1519,218970.97
1520,133851.45
1521,139700.0
1522,169390.66
1523,112925.41
1524,124823.37
1525,124187.664
1526,121682.914
1527,104974.52
1528,131570.7
1529,144227.33
1530,168579.16
1531,118408.1
1532,106963.836
1533,147721.86
1534,114635.234
1535,162215.19
1536,112973.51
1537,75636.53
1538,181238.47
1539,174516.03
1540,104578.84
1541,148543.28
1542,147418.2
1543,220636.02
1544,79411.516
1545,104236.11
1546,128097.06
1547,140976.66
1548,134735.69
1549,117599.79
1550,145041.53
1551,111516.35
1552,133193.1
1553,141340.5
1554,115220.61
1555,174830.77
1556,86721.53
1557,116711.164
1558,91627.664
1559,111422.51
1560,138223.72
1561,146187.73
1562,128260.17
1563,122438.52
1564,153789.98
1565,148371.92
1566,211744.55
1567,75921.03
1568,234869.9
1569,146155.94
1570,131085.64
1571,110535.336
1572,142026.62
1573,246783.53
1574,112294.72
1575,207104.75
1576,227320.17
1577,206892.31
1578,152992.11
1579,140522.5
1580,186965.52
1581,145560.14
1582,126323.484
1583,338144.38
1584,237524.31
1585,141336.38
1586,71861.3
1587,94861.03
1588,151582.3
1589,99073.516
1590,133905.3
1591,105349.734
1592,120566.4
1593,123346.484
1594,135576.53
1595,117174.18
1596,245599.72
1597,172049.12
1598,201629.36
1599,205210.36
1600,192049.8
1601,73803.65
1602,109100.86
1603,93303.62
1604,273228.06
1605,237238.05
1606,171785.92
1607,163918.61
1608,213634.08
1609,204782.6
1610,154460.16
1611,141106.62
1612,152386.17
1613,157089.06
1614,119911.055
1615,87474.82
1616,75406.984
1617,87992.234
1618,126330.86
1619,139942.9
1620,149691.05
1621,137425.53
1622,144491.42
1623,294162.44
1624,227568.02
1625,124864.54
1626,165200.72
1627,180204.3
1628,260443.03
1629,178083.67
1630,366616.4
1631,222322.81
1632,257924.88
1633,172448.1
1634,181144.1
1635,180770.75
1636,157802.77
1637,169014.39
1638,210197.44
1639,178581.31
1640,248234.16
1641,172307.67
1642,227064.3
1643,220387.03
1644,229436.23
1645,176479.83
1646,156303.3
1647,161309.47
1648,132937.62
1649,139612.28
1650,116093.99
1651,121817.836
1652,94696.16
1653,94345.68
1654,154015.64
1655,153413.22
1656,148522.11
1657,155652.3
1658,148539.55
1659,148514.69
1660,149715.7
1661,442737.78
1662,385601.9
1663,350935.7
1664,448285.66
1665,315160.22
1666,321566.12
1667,362462.7
1668,328338.1
1669,301217.4
1670,333546.47
1671,261417.12
1672,458517.0
1673,288547.75
1674,254022.8
1675,184328.05
1676,188454.02
1677,220735.3
1678,452874.0
1679,381870.25
1680,313694.0
1681,269323.16
1682,290833.0
